fid,district,dist_name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,dist_area,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,int_area
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2933","24","510","270302","24510270302","2703.02",Census Tract,G5020,S,"519259","0","+39.3448975","-076.5638561",869400.531250000000000,4024.232543004342915,"519264","519264"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2951","24","510","270600","24510270600","2706",Census Tract,G5020,S,"1553593","0","+39.3583436","-076.5660281",2602162.066406250000000,6767.284626464549547,"1553591","1553591"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2952","24","510","270401","24510270401","2704.01",Census Tract,G5020,S,"1457277","0","+39.3462013","-076.5467855",2440006.468750000465661,7242.749850223637623,"1457280","1457280"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2953","24","510","270402","24510270402","2704.02",Census Tract,G5020,S,"1201224","0","+39.3512325","-076.5540354",2011565.054687500000000,6021.211869377925723,"1201224","1201224"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2954","24","510","270502","24510270502","2705.02",Census Tract,G5020,S,"1539775","0","+39.3570603","-076.5441945",2578925.117187499534339,7552.130168503864297,"1539774","1539774"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2970","24","510","270702","24510270702","2707.02",Census Tract,G5020,S,"837141","0","+39.3643635","-076.5627410",1402392.398437500000000,7032.579222048591873,"837139","837139"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2971","24","510","270801","24510270801","2708.01",Census Tract,G5020,S,"806701","0","+39.3691930","-076.5912570",1351591.523437500000000,5285.872223186031988,"806704","530590"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2972","24","510","270703","24510270703","2707.03",Census Tract,G5020,S,"993947","0","+39.3686909","-076.5542537",1665289.019531250000000,5557.995303607887763,"993949","975593"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2979","24","510","270802","24510270802","2708.02",Census Tract,G5020,S,"1099564","0","+39.3614244","-076.5928428",1841854.894531250000000,5669.702252425862753,"1099562","735267"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2993","24","510","270803","24510270803","2708.03",Census Tract,G5020,S,"2190787","2110","+39.3642762","-076.5803260",3673420.171875000000000,8642.274157364870916,"2192897","2180741"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2994","24","510","270805","24510270805","2708.05",Census Tract,G5020,S,"1248265","0","+39.3596241","-076.6033509",2090830.632812500000000,6208.970415486094680,"1248261","18627"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2995","24","510","270901","24510270901","2709.01",Census Tract,G5020,S,"677441","0","+39.3499700","-076.5949830",1134401.835937500000000,4598.628079100615651,"677443","675703"
